Country,Location,Site,Latitude,Longitude,Depth,Zone,Protected,Year,Month,Remarks,Method,Replicate,Programme,Surveyor,Publication,Benthic_length_m,Benthic_area_m2,Fish_area_m2,Invertebrate_area_m2,Hardcoral_percent,Softcoral_percent,Reckilledcoral_percent,Macroalgae_percent,Corallinealgae_percent,Other_percent,Chaetodontidae_no,Haemulidae_no,Lutjanidae_no,Serranidae_no,Labridae_no,Scaridae_no,Muraenidae_no,Diadema_no,Acanthaster_no,Tridacnidae_no
Indonesia,North_Maluku Guraici,West_Taneti,"0° 7' 56,334"" S","127° 12' 48,719"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,1,74,0,0,0,25,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,West_Taneti,"0° 7' 56,334"" S","127° 12' 48,719"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,24,54,1,3,0,18,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,West_Taneti,"0° 7' 56,334"" S","127° 12' 48,719"" E",3,NA,MPA,2017,3,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,85,1,5,5,0,4,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Miskin_Island,"0° 9' 11,900"" N","127° 25' 54,300"" E",7,NA,Not,2017,3,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,35,16,7,1,0,41,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Miskin_Island,"0° 9' 11,900"" N","127° 25' 54,300"" E",7,NA,Not,2017,3,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,35,6,11,0,0,48,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Miskin_Island,"0° 9' 11,900"" N","127° 25' 54,300"" E",7,NA,Not,2017,3,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,24,6,9,0,0,61,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Miskin_Island,"0° 9' 11,900"" N","127° 25' 54,300"" E",3,NA,Not,2017,3,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,75,11,2,3,0,9,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Miskin_Island,"0° 9' 11,900"" N","127° 25' 54,300"" E",3,NA,Not,2017,3,NA,Point_intercept_transect,2,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,75,16,4,0,0,5,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Miskin_Island,"0° 9' 11,900"" N","127° 25' 54,300"" E",3,NA,Not,2017,3,NA,Point_intercept_transect,3,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,71,16,7,0,0,6,,,,,,,,NA,NA,NA
Indonesia,North_Maluku Guraici,Sagawele,"0° 6' 9,345"" S","127° 24' 46,752"" E",8,NA,Not,2017,4,NA,Point_intercept_transect,1,SEA_Project,SEA_Project_WCS,NA,50,NA,,NA,32,5,13,0,0,50,,,,,,,,NA,NA,NA
