Country,Location,Site,Latitude,Longitude,Depth,Zone,Protected,Year,Month,Remarks,Method,Replicate,Programme,Surveyor,Publication,Fish_area_m2,Chaetodontidae_no,Haemulidae_no,Lutjanidae_no,Serranidae_no,Labridae_no,Scaridae_no,Muraenidae_no
Indonesia,North Maluku _Guraici,Legoma,"0° 8' 37,700"" N","127° 12' 33,600"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,100,200,0,0,0,2300,0,0
Indonesia,North Maluku _Guraici,Legoma,"0° 8' 37,700"" N","127° 12' 33,600"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,250,400,0,40,0,360,0,0
Indonesia,North Maluku _Guraici,Legoma,"0° 8' 37,700"" N","127° 12' 33,600"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,250,160,40,0,0,760,0,0
Indonesia,North Maluku _Guraici,Legoma,"0° 8' 37,700"" N","127° 12' 33,600"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,250,80,0,0,0,200,0,0
Indonesia,North Maluku _Guraici,Legoma,"0° 8' 37,700"" N","127° 12' 33,600"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,250,400,0,0,0,360,240,0
Indonesia,North Maluku _Guraici,Legoma,"0° 8' 37,700"" N","127° 12' 33,600"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,250,40,0,40,0,480,120,0
Indonesia,North Maluku _Guraici,Legoma,"0° 8' 37,700"" N","127° 12' 33,600"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,250,80,0,80,0,360,0,0
Indonesia,North Maluku _Guraici,Lelei,"0° 1' 26,800"" S","127° 14' 53,000"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,200,0,0
Indonesia,North Maluku _Guraici,Lelei,"0° 1' 26,800"" S","127° 14' 53,000"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,100,400,0,0,0,3400,0,0
Indonesia,North Maluku _Guraici,Lelei,"0° 1' 26,800"" S","127° 14' 53,000"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,100,400,0,0,0,700,0,0
Indonesia,North Maluku _Guraici,Lelei,"0° 1' 26,800"" S","127° 14' 53,000"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,100,1300,0,0,0,19400,0,0
Indonesia,North Maluku _Guraici,Lelei,"0° 1' 26,800"" S","127° 14' 53,000"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,100,200,0,0,0,12200,0,0
Indonesia,North Maluku _Guraici,Lelei,"0° 1' 26,800"" S","127° 14' 53,000"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,100,700,0,0,0,3500,0,0
Indonesia,North Maluku _Guraici,Lelei,"0° 1' 26,800"" S","127° 14' 53,000"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,250,400,0,0,0,560,0,0
Indonesia,North Maluku _Guraici,Lelei,"0° 1' 26,800"" S","127° 14' 53,000"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,250,80,0,0,0,160,200,0
Indonesia,North Maluku _Guraici,Lelei,"0° 1' 26,800"" S","127° 14' 53,000"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,250,40,0,0,0,160,0,0
Indonesia,North Maluku _Guraici,Lelei,"0° 1' 26,800"" S","127° 14' 53,000"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,250,80,0,0,0,120,80,0
Indonesia,North Maluku _Guraici,Lelei,"0° 1' 26,800"" S","127° 14' 53,000"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,250,480,0,0,0,440,160,0
Indonesia,North Maluku _Guraici,Lelei,"0° 1' 26,800"" S","127° 14' 53,000"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,250,80,0,0,0,840,40,0
Indonesia,North Maluku _Guraici,Lepa,"0° 1' 2,300"" S","127° 13' 27,300"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,12000,0,0
Indonesia,North Maluku _Guraici,Lepa,"0° 1' 2,300"" S","127° 13' 27,300"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,200,0,0
Indonesia,North Maluku _Guraici,Lepa,"0° 1' 2,300"" S","127° 13' 27,300"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,3400,0,0
Indonesia,North Maluku _Guraici,Lepa,"0° 1' 2,300"" S","127° 13' 27,300"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,100,300,0,0,0,300,0,0
Indonesia,North Maluku _Guraici,Lepa,"0° 1' 2,300"" S","127° 13' 27,300"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,6000,0,0
Indonesia,North Maluku _Guraici,Lepa,"0° 1' 2,300"" S","127° 13' 27,300"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,100,500,0,0,0,600,0,0
Indonesia,North Maluku _Guraici,Lepa,"0° 1' 2,300"" S","127° 13' 27,300"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,250,120,0,0,0,400,240,0
Indonesia,North Maluku _Guraici,Lepa,"0° 1' 2,300"" S","127° 13' 27,300"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,250,120,0,0,0,360,200,0
Indonesia,North Maluku _Guraici,Lepa,"0° 1' 2,300"" S","127° 13' 27,300"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,250,80,0,0,0,920,40,0
Indonesia,North Maluku _Guraici,Lepa,"0° 1' 2,300"" S","127° 13' 27,300"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,250,320,40,40,0,280,120,0
Indonesia,North Maluku _Guraici,Lepa,"0° 1' 2,300"" S","127° 13' 27,300"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,250,240,0,0,0,320,40,0
Indonesia,North Maluku _Guraici,Lepa,"0° 1' 2,300"" S","127° 13' 27,300"" E",8,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,3,SEA_Project,SEA_Project_WCS,NA,250,400,0,0,0,120,80,0
Indonesia,North Maluku _Guraici,South Taneti,"0° 0' 45,800"" S","127° 11' 37,900"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,1,SEA_Project,SEA_Project_WCS,NA,100,0,0,0,0,4200,0,0
Indonesia,North Maluku _Guraici,South Taneti,"0° 0' 45,800"" S","127° 11' 37,900"" E",3,Fringing,MPA,2017,3,NA,Underwater_Visual_Census,2,SEA_Project,SEA_Project_WCS,NA,100,200,0,0,0,4200,0,0
