site_name,latitude,longitude,sample_date_year,sample_date_month,sample_date_day,reef_exposure,reef_type,reef_zone,depth_avg,percent_cover_by_benthic_category_avg
KULIS2,-4.84111,123.12006,2021,4,11,exposed,fringing,fore reef,5,"{'Sand': 0.67, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 55.67, 'Macroalgae': 0.33, 'Soft coral': 1.67, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 40.0, 'Other invertebrates': 1.67, 'Crustose coralline algae': 0.0}"
KULIS3,-4.78552,123.15209,2021,4,11,exposed,fringing,fore reef,6,"{'Sand': 24.67, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 47.67, 'Macroalgae': 0.0, 'Soft coral': 3.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 22.67, 'Other invertebrates': 2.0, 'Crustose coralline algae': 0.0}"
KULIS6,-4.83437,123.1691,2021,4,11,exposed,fringing,fore reef,6,"{'Sand': 0.33, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 75.67, 'Macroalgae': 0.33, 'Soft coral': 0.33, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 20.0, 'Other invertebrates': 3.33, 'Crustose coralline algae': 0.0}"
KULIS7,-4.8075,123.167,2021,4,11,exposed,barrier,fore reef,7,"{'Sand': 1.0, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 74.0, 'Macroalgae': 0.33, 'Soft coral': 2.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 21.33, 'Other invertebrates': 1.33, 'Crustose coralline algae': 0.0}"
KULIS8,-4.79436,123.14523,2021,4,11,exposed,barrier,fore reef,5,"{'Sand': 3.67, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 69.33, 'Macroalgae': 0.33, 'Soft coral': 16.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 9.67, 'Other invertebrates': 1.0, 'Crustose coralline algae': 0.0}"
MAGIN1,-4.77327,122.26115,2021,4,3,exposed,fringing,fore reef,6.1,"{'Sand': 14.0, 'Other': 0.0, 'Rubble': 10.0, 'Seagrass': 0.0, 'Hard coral': 32.33, 'Macroalgae': 0.0, 'Soft coral': 7.0, 'Turf algae': 3.0, 'Cyanobacteria': 0.0, 'Bare substrate': 17.0, 'Other invertebrates': 16.67, 'Crustose coralline algae': 0.0}"
MAGIN3,-4.81858,122.291,2021,4,3,exposed,fringing,fore reef,2,"{'Sand': 73.33, 'Other': 0.0, 'Rubble': 1.33, 'Seagrass': 0.0, 'Hard coral': 2.0, 'Macroalgae': 19.67, 'Soft coral': 0.67, 'Turf algae': 1.33, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 1.67, 'Crustose coralline algae': 0.0}"
MAGIN4,-4.8431,122.21632,2021,4,3,exposed,fringing,fore reef,7.3,"{'Sand': 3.0, 'Other': 0.0, 'Rubble': 1.67, 'Seagrass': 0.0, 'Hard coral': 28.33, 'Macroalgae': 3.67, 'Soft coral': 7.67, 'Turf algae': 3.67, 'Cyanobacteria': 0.0, 'Bare substrate': 33.33, 'Other invertebrates': 18.67, 'Crustose coralline algae': 0.0}"
MAGIN5,-4.86419,122.25579,2021,4,2,exposed,fringing,fore reef,6,"{'Sand': 47.67, 'Other': 0.0, 'Rubble': 3.33, 'Seagrass': 0.0, 'Hard coral': 10.33, 'Macroalgae': 0.0, 'Soft coral': 34.33, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 0.0, 'Other invertebrates': 4.33, 'Crustose coralline algae': 0.0}"
MAGIN6,-4.93512,122.32075,2021,4,2,exposed,fringing,fore reef,3.5,"{'Sand': 68.33, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 4.67, 'Hard coral': 4.33, 'Macroalgae': 1.33, 'Soft coral': 5.33, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 10.33, 'Other invertebrates': 5.67, 'Crustose coralline algae': 0.0}"
MAGIN7,-4.88772,122.28965,2021,4,2,exposed,fringing,fore reef,4,"{'Sand': 17.0, 'Other': 0.0, 'Rubble': 1.0, 'Seagrass': 16.67, 'Hard coral': 9.33, 'Macroalgae': 16.67, 'Soft coral': 5.0, 'Turf algae': 1.0, 'Cyanobacteria': 0.0, 'Bare substrate': 8.33, 'Other invertebrates': 25.0, 'Crustose coralline algae': 0.0}"
MATAO1,-4.91954,122.08707,2021,4,5,exposed,fringing,fore reef,10,"{'Sand': 16.33, 'Other': 0.0, 'Rubble': 50.67, 'Seagrass': 0.0, 'Hard coral': 25.33, 'Macroalgae': 0.0, 'Soft coral': 0.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 6.33, 'Other invertebrates': 1.33, 'Crustose coralline algae': 0.0}"
MATAO2,-4.88977,122.05219,2021,4,5,exposed,fringing,fore reef,10,"{'Sand': 42.0, 'Other': 0.0, 'Rubble': 27.67, 'Seagrass': 0.0, 'Hard coral': 12.67, 'Macroalgae': 0.33, 'Soft coral': 10.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 7.0, 'Other invertebrates': 0.33, 'Crustose coralline algae': 0.0}"
MATAO4,-4.84567,122.11833,2021,4,4,exposed,fringing,fore reef,10,"{'Sand': 24.0, 'Other': 0.0, 'Rubble': 36.0, 'Seagrass': 0.0, 'Hard coral': 4.0, 'Macroalgae': 2.33, 'Soft coral': 6.67, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 17.67, 'Other invertebrates': 9.33, 'Crustose coralline algae': 0.0}"
MATAO5,-4.83917,122.14491,2021,4,3,exposed,fringing,fore reef,10,"{'Sand': 8.67, 'Other': 0.0, 'Rubble': 50.0, 'Seagrass': 0.0, 'Hard coral': 3.67, 'Macroalgae': 14.33, 'Soft coral': 11.67, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 10.67, 'Other invertebrates': 1.0, 'Crustose coralline algae': 0.0}"
MATAO6,-4.81514,122.15236,2021,4,3,exposed,barrier,fore reef,10,"{'Sand': 11.33, 'Other': 0.0, 'Rubble': 31.33, 'Seagrass': 0.0, 'Hard coral': 5.67, 'Macroalgae': 3.67, 'Soft coral': 37.33, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 8.33, 'Other invertebrates': 2.33, 'Crustose coralline algae': 0.0}"
MATAO7,-4.858833,122.0601,2021,4,4,exposed,fringing,fore reef,10,"{'Sand': 48.0, 'Other': 0.0, 'Rubble': 39.33, 'Seagrass': 0.0, 'Hard coral': 3.67, 'Macroalgae': 0.0, 'Soft coral': 0.33, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 8.67, 'Other invertebrates': 0.0, 'Crustose coralline algae': 0.0}"
MAWAS2,-5.27672,122.26852,2021,4,1,exposed,fringing,fore reef,6.33,"{'Sand': 13.33, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 36.67, 'Macroalgae': 9.33, 'Soft coral': 0.0, 'Turf algae': 4.67, 'Cyanobacteria': 0.0, 'Bare substrate': 36.0, 'Other invertebrates': 0.0, 'Crustose coralline algae': 0.0}"
MAWAS3,-5.28481,122.25244000000001,2021,4,1,exposed,barrier,fore reef,5,"{'Sand': 7.0, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 63.67, 'Macroalgae': 0.33, 'Soft coral': 0.67, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 28.0, 'Other invertebrates': 0.33, 'Crustose coralline algae': 0.0}"
MAWAS4,-5.35652,122.25968,2021,4,1,exposed,fringing,fore reef,5,"{'Sand': 39.33, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 26.33, 'Macroalgae': 0.0, 'Soft coral': 2.33, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 31.67, 'Other invertebrates': 0.33, 'Crustose coralline algae': 0.0}"
MAWAS5,-5.36989,122.26509,2021,4,1,exposed,fringing,fore reef,5,"{'Sand': 6.33, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 49.0, 'Macroalgae': 0.0, 'Soft coral': 4.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 40.67, 'Other invertebrates': 0.0, 'Crustose coralline algae': 0.0}"
MAWAS6,-5.39834,122.27374,2021,4,1,exposed,fringing,fore reef,4,"{'Sand': 1.67, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 59.0, 'Macroalgae': 0.0, 'Soft coral': 1.33, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 38.0, 'Other invertebrates': 0.0, 'Crustose coralline algae': 0.0}"
MAWAS7,-5.39842,122.3273,2021,4,1,exposed,fringing,fore reef,6,"{'Sand': 23.67, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 29.33, 'Macroalgae': 0.0, 'Soft coral': 1.0, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 45.0, 'Other invertebrates': 1.0, 'Crustose coralline algae': 0.0}"
MAWAS8,-5.31316,122.26286,2021,4,1,exposed,barrier,fore reef,5,"{'Sand': 30.33, 'Other': 0.0, 'Rubble': 0.0, 'Seagrass': 0.0, 'Hard coral': 23.33, 'Macroalgae': 5.0, 'Soft coral': 0.0, 'Turf algae': 0.67, 'Cyanobacteria': 0.0, 'Bare substrate': 40.67, 'Other invertebrates': 0.0, 'Crustose coralline algae': 0.0}"
MORAM1,-4.07863,122.76952,2021,3,28,sheltered,fringing,fore reef,5.33,"{'Sand': 38.0, 'Other': 0.0, 'Rubble': 38.67, 'Seagrass': 0.0, 'Hard coral': 20.67, 'Macroalgae': 1.0, 'Soft coral': 0.33, 'Turf algae': 0.0, 'Cyanobacteria': 0.0, 'Bare substrate': 1.0, 'Other invertebrates': 0.33, 'Crustose coralline algae': 0.0}"
MORAM2,-4.10858,122.80081,2021,3,28,sheltered,fringing,back reef,5,"{'Sand': 1.67, 'Other': 0.0, 'Rubble': 5.67, 'Seagrass': 0.0, 'Hard coral': 43.33, 'Macroalgae': 16.33, 'Soft coral': 3.0, 'Turf algae': 18.0, 'Cyanobacteria': 0.0, 'Bare substrate': 9.33, 'Other invertebrates': 2.67, 'Crustose coralline algae': 0.0}"
